X,Y,Label
2.373546189,5.39810588,0
3.183643324,4.387973607,0
2.164371388,5.341119691,0
4.595280802,3.870636904,0
3.329507772,6.433023702,0
2.179531616,6.980399899,0
3.487429052,4.632778524,0
3.738324705,3.955865374,0
3.575781352,5.569719627,0
2.694611613,4.864945396,0
4.511781168,7.401617761,0
3.389843236,4.960759997,0
2.378759419,5.689739362,0
0.785300113,5.028002159,0
4.124930918,4.256726791,0
2.955066391,5.1887923,0
2.983809737,3.195041371,0
3.943836211,6.465554862,0
3.821221195,5.153253338,0
3.593901321,7.17261167,0
3.918977372,5.475509529,0
3.782136301,4.290053569,0
3.074564983,5.610726353,0
1.010648304,4.065902368,0
3.619825748,3.7463666,0
2.94387126,5.291446236,0
2.844204493,4.556708127,0
1.529247616,5.001105352,0
2.521849945,5.074341324,0
3.41794156,4.410479054,0
4.358679552,4.431331267,0
2.897212273,4.864821385,0
3.387671612,6.178086997,0
2.946194959,3.4764332,0
1.622940443,5.593946188,0
2.585005437,5.332950371,0
2.605710046,6.063099837,0
2.940686603,4.695816076,0
4.100025372,5.37001881,0
3.763175748,5.267098791,0
2.835476404,4.457479969,0
2.74663832,6.207867806,0
3.696963375,6.160402616,0
3.556663199,5.70021365,0
2.311244305,6.586833455,0
2.292504843,5.558486426,0
3.364581962,3.723407792,0
3.768532925,4.426734586,0
2.887653788,3.775387385,0
3.881107726,4.526599364,0
4.379633323,7.450187101,1
5.042115873,6.981440167,1
4.089078351,6.681931625,1
5.158028772,6.070637853,1
4.345415356,5.51253969,1
6.767287269,5.924807703,1
5.716707476,8.000028804,1
5.910174229,6.378733305,1
5.384185358,5.615573153,1
6.682176081,8.869290622,1
4.364263546,7.425100377,1
4.53835527,6.761352899,1
6.432282239,8.058483049,1
4.349303647,7.886422651,1
4.792619256,6.380756952,1
4.607192071,9.206102465,1
4.680007131,6.74497297,1
4.720886697,5.57550535,1
5.494188331,6.855600398,1
4.822669518,7.207538339,1
4.494042538,9.307978399,1
6.343038825,7.105802368,1
4.785420591,7.456998805,1
4.82044347,6.922847065,1
4.899809259,6.665999158,1
5.712666307,6.965273972,1
4.926435596,7.787639606,1
4.962365829,9.075245009,1
4.318339521,8.027392439,1
4.675729728,8.207908398,1
5.06016044,5.768676578,1
4.411105514,7.98389557,1
5.531496193,7.219924804,1
3.481605918,5.532749971,1
5.306557861,7.521022743,1
3.463550176,6.841245395,1
4.699023873,8.464587312,1
4.471720096,6.233918,1
4.347905219,6.569788246,1
4.943103222,6.073890503,1
3.085640574,6.822896039,1
6.176583312,7.402011779,1
3.335027564,6.268251827,1
4.536469599,7.830373168,1
3.884079895,5.791917214,1
4.249180999,5.952015587,1
7.087166546,8.441157707,1
5.01739562,5.984152535,1
3.71369947,7.411974712,1
3.359394466,6.618923949,1